,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
43,389,44,1990-02-01,26-349,CHI,HOU,-27,1,38:00,16,31,.516,0,2,.000,3,4,.750,2,4,6,5,2,0,3,0,35,24.4,
44,390,45,1990-02-03,26-351,CHI,SAS,-1,1,46:00,17,32,.531,2,4,.500,8,8,1.000,3,0,3,5,2,0,3,3,44,31.8,
45,391,46,1990-02-07,26-355,CHI,LAL,-18,1,40:00,12,21,.571,0,1,.000,8,12,.667,0,4,4,4,0,1,8,3,32,16.0,
46,392,47,1990-02-08,26-356,CHI,DEN,-25,1,37:00,5,18,.278,1,2,.500,4,6,.667,0,1,1,8,1,1,4,2,15,6.4,
47,393,48,1990-02-13,26-361,CHI,MIA,12,1,40:00,8,16,.500,0,1,.000,10,11,.909,1,3,4,6,3,0,3,4,26,21.8,
48,394,49,1990-02-14,26-362,CHI,ORL,-6,1,47:00,21,43,.488,0,2,.000,7,10,.700,1,6,7,2,0,1,0,1,49,30.3,
49,395,50,1990-02-16,26-364,CHI,MIA,14,1,31:00,10,14,.714,1,2,.500,5,6,.833,0,3,3,4,2,0,5,2,26,19.7,
50,396,51,1990-02-18,27-001,CHI,MIL,23,1,36:00,15,26,.577,0,2,.000,9,10,.900,1,2,3,4,2,1,0,4,39,31.6,
51,397,52,1990-02-19,27-002,CHI,HOU,5,1,42:00,11,25,.440,0,0,,8,9,.889,2,4,6,9,2,0,5,3,30,21.2,
52,398,53,1990-02-23,27-006,CHI,POR,11,1,35:00,12,25,.480,2,2,1.000,9,10,.900,2,8,10,10,1,0,6,4,35,26.1,
53,399,54,1990-02-25,27-008,CHI,NJN,1,1,44:00,12,24,.500,0,1,.000,8,9,.889,1,7,8,8,2,2,5,4,32,24.8,
54,400,55,1990-02-27,27-010,CHI,MIL,10,1,41:00,13,25,.520,0,1,.000,17,19,.895,2,4,6,6,3,0,3,4,43,35.1,
55,401,56,1990-03-02,27-013,CHI,NJN,21,1,31:00,8,12,.667,2,4,.500,5,6,.833,0,4,4,4,1,2,0,2,23,23.0,
56,402,57,1990-03-04,27-015,CHI,BOS,4,1,40:00,11,23,.478,1,1,1.000,13,15,.867,0,6,6,11,4,0,2,4,36,33.4,
57,403,58,1990-03-06,27-017,CHI,MIL,9,1,37:00,14,26,.538,2,4,.500,5,6,.833,2,6,8,6,4,0,2,5,35,29.4,
58,404,59,1990-03-08,27-019,CHI,UTA,-4,1,47:00,12,29,.414,0,6,.000,19,22,.864,5,2,7,4,7,0,3,5,43,35.2,
59,405,60,1990-03-10,27-021,CHI,IND,12,1,39:00,17,27,.630,1,2,.500,10,10,1.000,2,5,7,3,5,1,2,5,45,39.6,
60,406,61,1990-03-13,27-024,CHI,NYK,3,1,42:00,11,19,.579,1,3,.333,11,12,.917,2,6,8,7,1,1,4,2,34,29.7,
61,407,62,1990-03-16,27-027,CHI,DET,-25,1,41:00,8,17,.471,3,5,.600,1,3,.333,0,8,8,7,1,0,3,3,20,14.6,
62,408,63,1990-03-17,27-028,CHI,PHI,5,1,39:00,13,21,.619,3,6,.500,3,4,.750,2,6,8,10,2,1,2,2,32,32.2,
63,409,64,1990-03-20,27-031,CHI,WSB,25,1,39:00,8,19,.421,1,2,.500,4,4,1.000,3,5,8,5,2,2,3,2,21,17.6,
64,410,65,1990-03-21,27-032,CHI,ATL,10,1,38:00,10,20,.500,0,2,.000,7,9,.778,2,2,4,6,5,0,1,2,27,25.6,
65,411,66,1990-03-23,27-034,CHI,CLE,7,1,40:00,18,32,.563,0,3,.000,5,6,.833,2,4,6,5,5,1,3,1,41,33.8,
66,412,67,1990-03-24,27-035,CHI,SAC,-3,1,39:00,16,28,.571,2,3,.667,9,10,.900,1,4,5,6,5,0,1,3,43,38.3,
67,413,68,1990-03-26,27-037,CHI,PHO,29,1,28:00,14,24,.583,0,1,.000,0,0,,4,8,12,5,6,0,2,0,28,29.5,
68,414,69,1990-03-28,27-039,CHI,CLE,4,1,50:00,23,37,.622,2,6,.333,21,23,.913,7,11,18,6,4,1,2,5,69,64.6,
69,415,70,1990-03-30,27-041,CHI,NYK,1,1,45:00,20,34,.588,1,3,.333,8,9,.889,1,11,12,4,5,2,2,3,49,42.8,
70,416,71,1990-04-01,27-043,CHI,MIA,8,1,41:00,20,29,.690,1,2,.500,6,9,.667,2,4,6,7,3,3,5,2,47,40.3,
71,417,72,1990-04-03,27-045,CHI,IND,7,1,44:00,8,19,.421,1,4,.250,12,12,1.000,1,3,4,10,0,2,0,4,29,27.3,
72,418,73,1990-04-05,27-047,CHI,ORL,7,1,39:00,14,23,.609,2,6,.333,8,10,.800,1,6,7,3,4,1,2,2,38,33.2,
73,419,74,1990-04-07,27-049,CHI,DAL,1,1,40:00,15,26,.577,3,5,.600,10,13,.769,2,1,3,4,2,1,0,3,43,35.6,
74,420,75,1990-04-11,27-053,CHI,CLE,21,1,31:00,9,15,.600,1,4,.250,3,4,.750,1,4,5,7,3,1,2,5,22,21.2,
75,421,76,1990-04-13,27-055,CHI,MIL,10,1,39:00,10,16,.625,1,4,.250,5,6,.833,1,5,6,10,8,2,4,3,26,31.8,
76,422,77,1990-04-14,27-056,CHI,WSB,-10,1,37:00,10,21,.476,1,2,.500,0,1,.000,1,2,3,5,1,0,2,4,21,12.1,
77,423,78,1990-04-16,27-058,CHI,IND,-9,1,45:00,11,24,.458,0,2,.000,1,2,.500,3,4,7,6,4,0,6,5,23,13.7,
78,424,79,1990-04-17,27-059,CHI,BOS,6,1,36:00,13,24,.542,2,3,.667,7,8,.875,1,10,11,6,2,1,6,3,35,26.4,
79,425,80,1990-04-19,27-061,CHI,WSB,3,1,36:00,12,26,.462,2,5,.400,6,6,1.000,3,3,6,7,5,1,3,4,32,27.6,
80,426,81,1990-04-20,27-062,CHI,BOS,-4,1,35:00,21,29,.724,0,2,.000,3,3,1.000,1,7,8,9,3,0,3,5,45,40.2,
81,427,82,1990-04-22,27-064,CHI,DET,-5,1,37:00,10,23,.435,1,3,.333,1,2,.500,3,7,10,4,2,0,2,3,22,15.3,
