,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
34,183,37,2016-01-04,24-276,PHI,MIN,10,0,20:47,4,9,.444,1,5,.200,0,1,.000,1,1,2,1,0,1,0,2,9,5.5,+5
35,184,38,2016-01-07,24-279,PHI,ATL,-28,0,21:52,4,7,.571,1,3,.333,0,0,,0,0,0,1,0,0,2,0,9,4.4,-4
36,185,39,2016-01-09,24-281,PHI,TOR,-13,0,30:41,3,9,.333,2,4,.500,0,0,,0,2,2,1,0,0,0,4,8,2.6,-22
37,186,40,2016-01-10,24-282,PHI,CLE,-10,0,25:43,3,4,.750,2,3,.667,0,0,,0,3,3,0,0,1,1,1,8,6.6,-10
38,187,41,2016-01-14,24-286,PHI,CHI,-4,0,33:32,3,8,.375,1,5,.200,0,0,,0,2,2,1,1,0,1,4,7,2.3,+7
39,188,42,2016-01-16,24-288,PHI,POR,25,0,23:06,1,5,.200,1,3,.333,0,0,,0,4,4,1,0,0,1,2,3,0.0,+13
40,189,43,2016-01-18,24-290,PHI,NYK,-6,0,40:54,4,9,.444,3,6,.500,0,3,.000,1,3,4,0,0,0,1,4,11,4.1,+3
41,190,44,2016-01-20,24-292,PHI,ORL,9,0,30:12,7,10,.700,3,5,.600,0,0,,0,3,3,0,0,0,1,2,17,11.9,+14
42,191,45,2016-01-24,24-296,PHI,BOS,-20,0,23:36,2,6,.333,1,1,1.000,0,0,,0,2,2,0,0,1,1,0,5,1.9,-1
43,192,46,2016-01-26,24-298,PHI,PHO,10,0,33:15,4,9,.444,3,5,.600,2,3,.667,1,3,4,0,0,0,0,1,13,9.1,+4
44,193,47,2016-01-27,24-299,PHI,DET,-13,0,33:30,5,9,.556,2,3,.667,0,0,,2,3,5,0,1,0,2,3,12,7.8,-10
45,194,48,2016-01-30,24-302,PHI,GSW,-3,0,24:45,5,11,.455,1,3,.333,0,0,,1,1,2,2,1,1,0,0,11,9.4,+3
46,195,49,2016-02-03,24-306,PHI,ATL,-38,0,20:00,2,7,.286,1,4,.250,2,2,1.000,0,2,2,0,0,0,3,1,7,0.1,-17
47,196,50,2016-02-05,24-308,PHI,WAS,-12,0,29:23,3,8,.375,0,5,.000,1,1,1.000,0,2,2,1,0,0,0,0,7,3.9,+4
48,197,51,2016-02-06,24-309,PHI,BRK,5,0,29:29,4,9,.444,3,7,.429,3,5,.600,0,1,1,0,0,1,0,2,14,8.7,-3
49,198,52,2016-02-08,24-311,PHI,LAC,-6,0,34:54,5,9,.556,4,6,.667,2,2,1.000,0,1,1,1,0,0,3,1,16,9.3,-10
50,199,53,2016-02-10,24-313,PHI,SAC,-4,0,23:02,3,11,.273,1,7,.143,0,0,,3,5,8,0,0,0,0,0,7,4.1,-10
51,200,54,2016-02-19,24-322,PHI,NOP,-7,0,27:26,1,5,.200,0,1,.000,0,0,,0,4,4,0,1,0,1,3,2,-1.1,-9
52,201,55,2016-02-21,24-324,PHI,DAL,-26,0,22:09,2,7,.286,2,6,.333,2,3,.667,0,4,4,0,1,0,0,4,8,4.1,-13
53,202,56,2016-02-23,24-326,PHI,ORL,-9,0,28:57,4,9,.444,3,6,.500,3,3,1.000,0,3,3,2,1,0,0,3,14,11.4,-7
54,203,57,2016-02-24,24-327,PHI,DET,-20,0,32:20,7,11,.636,3,4,.750,2,3,.667,2,2,4,0,1,0,1,4,19,14.1,-4
55,204,58,2016-02-26,24-329,PHI,WAS,-9,0,23:07,1,7,.143,1,5,.200,0,0,,0,0,0,1,0,0,1,1,3,-2.2,-7
56,205,61,2016-03-02,24-334,PHI,CHO,-20,0,21:24,3,8,.375,2,6,.333,2,5,.400,0,2,2,1,0,0,0,1,10,5.3,-21
57,206,62,2016-03-04,24-336,PHI,MIA,-10,1,31:27,5,17,.294,2,8,.250,2,2,1.000,1,5,6,2,2,1,0,5,14,8.4,-4
58,207,63,2016-03-06,24-338,PHI,MIA,-5,1,37:11,5,13,.385,4,9,.444,2,2,1.000,1,3,4,0,0,0,2,1,16,8.1,+10
59,208,64,2016-03-09,24-341,PHI,HOU,-14,1,33:55,4,7,.571,2,4,.500,0,0,,0,7,7,2,0,0,0,2,10,9.4,-5
60,209,65,2016-03-11,24-343,PHI,BRK,6,1,32:40,5,11,.455,1,4,.250,0,0,,2,5,7,4,1,0,1,3,11,9.8,+18
61,210,66,2016-03-12,24-344,PHI,DET,-14,1,34:30,1,7,.143,1,4,.250,0,0,,1,6,7,3,0,0,0,2,3,2.3,-4
62,211,67,2016-03-15,24-347,PHI,BRK,-17,1,32:01,5,11,.455,2,6,.333,2,2,1.000,0,3,3,2,0,0,1,1,14,9.2,-16
63,212,68,2016-03-17,24-349,PHI,WAS,-5,1,35:04,5,15,.333,3,11,.273,2,2,1.000,1,4,5,0,0,0,0,4,15,6.8,-11
64,213,69,2016-03-18,24-350,PHI,OKC,-14,1,28:54,5,12,.417,2,8,.250,4,5,.800,1,3,4,3,2,0,0,3,16,13.7,-17
65,214,70,2016-03-20,24-352,PHI,BOS,-15,1,32:20,7,11,.636,3,4,.750,1,1,1.000,0,1,1,2,0,1,1,2,18,13.7,-12
66,215,71,2016-03-21,24-353,PHI,IND,-16,1,32:43,6,13,.462,1,5,.200,2,2,1.000,1,5,6,2,1,0,1,2,15,11.1,-4
67,216,72,2016-03-23,24-355,PHI,DEN,-1,1,32:51,5,12,.417,4,7,.571,0,0,,2,1,3,1,0,1,0,4,14,9.1,-13
68,217,73,2016-03-26,24-358,PHI,POR,-3,1,34:36,6,13,.462,5,11,.455,0,0,,1,6,7,2,1,1,1,3,17,13.7,+4
69,218,74,2016-03-27,24-359,PHI,GSW,-12,1,32:30,2,10,.200,0,4,.000,0,0,,2,2,4,4,1,1,1,2,4,2.5,-11
70,219,75,2016-03-29,24-361,PHI,CHO,-15,1,29:21,2,11,.182,2,6,.333,2,2,1.000,3,7,10,3,1,1,2,3,8,5.9,-9
71,220,76,2016-04-01,24-364,PHI,CHO,-9,1,29:43,6,12,.500,5,9,.556,0,0,,0,2,2,1,1,0,1,4,17,10.7,-8
72,221,78,2016-04-05,25-002,PHI,NOP,14,0,21:49,4,7,.571,3,4,.750,2,2,1.000,0,2,2,4,0,1,0,1,13,13.4,+23
73,222,79,2016-04-08,25-005,PHI,NYK,-7,0,27:08,1,11,.091,0,6,.000,0,0,,0,1,1,2,0,0,0,1,2,-4.0,-18
74,223,80,2016-04-10,25-007,PHI,MIL,-1,0,24:19,3,14,.214,3,10,.300,1,1,1.000,4,0,4,1,0,0,0,5,10,2.9,+5
75,224,81,2016-04-12,25-009,PHI,TOR,-24,0,30:43,3,11,.273,3,8,.375,0,2,.000,0,1,1,2,1,0,1,1,9,3.0,-17
76,225,82,2016-04-13,25-010,PHI,CHI,-10,0,31:19,8,13,.615,3,6,.500,2,3,.667,0,2,2,1,1,1,1,4,21,15.1,+6
